	date	open	low	high	close	volume
544	2010-01-04	30.620001000000002	30.59	31.1	30.950001	38409100.0
1012	2010-01-05	30.85	30.639999	31.1	30.959999	49749600.0
1480	2010-01-06	30.879998999999998	30.52	31.08	30.77	58182400.0
1948	2010-01-07	30.629998999999998	30.190001000000002	30.700001	30.450001	50559700.0
2416	2010-01-08	30.280001000000002	30.24	30.879998999999998	30.66	51197400.0
2884	2010-01-11	30.709999	30.120001000000002	30.76	30.27	68754700.0
3352	2010-01-12	30.15	29.91	30.4	30.07	65912100.0
3820	2010-01-13	30.26	30.01	30.52	30.35	51863500.0
4288	2010-01-14	30.309998999999998	30.26	31.1	30.959999	63228100.0
4756	2010-01-15	31.08	30.709999	31.24	30.860001	79913200.0
5224	2010-01-19	30.75	30.68	31.24	31.1	46575700.0
5692	2010-01-20	30.809998999999998	30.309998999999998	30.940001000000002	30.59	54849500.0
6160	2010-01-21	30.610001	30.0	30.719998999999998	30.01	73086700.0
6628	2010-01-22	30.0	28.84	30.200001	28.959999	102004600.0
7096	2010-01-25	29.24	29.1	29.66	29.32	63373000.0
7564	2010-01-26	29.200001	29.09	29.85	29.5	66639900.0
8032	2010-01-27	29.35	29.02	29.82	29.67	63949500.0
8500	2010-01-28	29.84	28.889999	29.870001000000002	29.16	117513700.0
8968	2010-01-29	29.9	27.66	29.92	28.18	193888500.0
9436	2010-02-01	28.389999	27.92	28.48	28.41	85931100.0
9904	2010-02-02	28.370001000000002	28.139999	28.5	28.459999	54413700.0
10372	2010-02-03	28.26	28.120001000000002	28.790001	28.629998999999998	61397900.0
10840	2010-02-04	28.379998999999998	27.809998999999998	28.5	27.84	77850000.0
11308	2010-02-05	28.0	27.57	28.280001000000002	28.02	80960100.0
11776	2010-02-08	28.01	27.57	28.08	27.719998999999998	52820600.0
12244	2010-02-09	27.969998999999998	27.75	28.34	28.01	59195800.0
12712	2010-02-10	28.030001000000002	27.84	28.24	27.99	48591300.0
13180	2010-02-11	27.93	27.700001	28.4	28.120001000000002	65993700.0
13648	2010-02-12	27.809998999999998	27.58	28.059998999999998	27.93	81117200.0
14116	2010-02-16	28.129998999999998	28.02	28.370001000000002	28.35	51935600.0
14584	2010-02-17	28.530001000000002	28.360001	28.65	28.59	45882900.0
15052	2010-02-18	28.59	28.51	29.030001000000002	28.969998999999998	42856500.0
15520	2010-02-19	28.790001	28.690001000000002	28.92	28.77	44451800.0
15988	2010-02-22	28.84	28.65	28.940001000000002	28.73	36707100.0
16456	2010-02-23	28.68	28.09	28.83	28.33	52266200.0
16924	2010-02-24	28.52	28.379998999999998	28.790001	28.629998999999998	43165900.0
17392	2010-02-25	28.27	28.02	28.65	28.6	48735300.0
17860	2010-02-26	28.65	28.51	28.85	28.67	40370600.0
18328	2010-03-01	28.77	28.530001000000002	29.049999	29.02	43805400.0
18796	2010-03-02	29.08	28.24	29.299999	28.459999	93123900.0
19264	2010-03-03	28.51	28.35	28.610001	28.459999	48442100.0
19732	2010-03-04	28.459999	28.27	28.65	28.629998999999998	42890600.0
20200	2010-03-05	28.66	28.42	28.68	28.59	56001800.0
20668	2010-03-08	28.52	28.5	28.93	28.629998999999998	39414500.0
21136	2010-03-09	28.559998999999998	28.549999	29.110001	28.799999	50271600.0
21604	2010-03-10	28.860001	28.799999	29.110001	28.969998999999998	44891400.0
22072	2010-03-11	28.889999	28.85	29.190001000000002	29.18	35349700.0
22540	2010-03-12	29.32	29.040001	29.379998999999998	29.27	31700200.0
23008	2010-03-15	29.18	29.01	29.370001000000002	29.290001	37512000.0
23476	2010-03-16	29.42	29.200001	29.49	29.370001000000002	36723500.0
23944	2010-03-17	29.5	29.4	29.870001000000002	29.629998999999998	50385700.0
24412	2010-03-18	29.629998999999998	29.5	29.719998999999998	29.610001	43845200.0
24880	2010-03-19	29.76	29.35	29.9	29.59	81332100.0
25348	2010-03-22	29.5	29.389999	29.700001	29.6	37718200.0
25816	2010-03-23	29.59	29.41	29.9	29.879998999999998	42026600.0
26284	2010-03-24	29.719998999999998	29.6	29.85	29.65	33987700.0
26752	2010-03-25	29.83	29.799999	30.57	30.01	73168700.0
27220	2010-03-26	30.09	29.59	30.200001	29.66	55595500.0
27688	2010-03-29	29.709999	29.549999	29.82	29.59	33336000.0
28156	2010-03-30	29.629998999999998	29.5	29.860001	29.77	34954800.0
28624	2010-03-31	29.639999	29.17	29.719998999999998	29.290001	63760000.0
29092	2010-04-01	29.35	28.620001000000002	29.540001	29.16	74768100.0
29560	2010-04-05	29.129998999999998	29.030001000000002	29.43	29.27	34331200.0
30028	2010-04-06	29.15	28.98	29.58	29.32	47366800.0
30496	2010-04-07	29.16	29.139999	29.559998999999998	29.35	58318800.0
30964	2010-04-08	29.32	29.299999	29.98	29.92	63713800.0
31432	2010-04-09	29.950001	29.9	30.41	30.34	54752500.0
31900	2010-04-12	30.25	30.209999	30.49	30.32	37068800.0
32368	2010-04-13	30.15	30.129998999999998	30.5	30.450001	41374600.0
32836	2010-04-14	30.790001	30.66	31.0	30.82	68941200.0
33304	2010-04-15	30.82	30.709999	30.950001	30.870001000000002	52745400.0
33772	2010-04-16	30.790001	30.6	30.98	30.67	88703100.0
34240	2010-04-19	30.77	30.76	31.25	31.040001	64970300.0
34708	2010-04-20	31.219998999999998	31.129998999999998	31.440001000000002	31.360001	52199500.0
35176	2010-04-21	31.33	31.23	31.5	31.33	55343100.0
35644	2010-04-22	31.040001	30.9	31.530001000000002	31.389999	84847600.0
36112	2010-04-23	31.120001000000002	30.65	31.58	30.959999	126766600.0
36580	2010-04-26	31.0	30.860001	31.280001000000002	31.110001	63649300.0
37048	2010-04-27	30.950001	30.75	31.25	30.85	68730900.0
37517	2010-04-28	30.92	30.620001000000002	31.0	30.91	64557900.0
37986	2010-04-29	30.93	30.67	31.43	31.0	52665200.0
38455	2010-04-30	31.07	30.52	31.08	30.540001	63214800.0
38924	2010-05-03	30.67	30.58	31.059998999999998	30.860001	43989500.0
39393	2010-05-04	30.52	29.75	30.549999	30.129998999999998	82085600.0
39862	2010-05-05	29.77	29.690001000000002	30.09	29.85	66833800.0
40331	2010-05-06	29.59	27.91	29.879998999999998	28.98	128613000.0
40800	2010-05-07	28.93	27.32	28.950001	28.209999	173718100.0
41269	2010-05-10	29.01	28.709999	29.48	28.940001000000002	86653300.0
41738	2010-05-11	28.68	28.57	29.65	28.879998999999998	63789400.0
42207	2010-05-12	28.98	28.92	29.58	29.440001000000002	47146800.0
42676	2010-05-13	29.26	29.18	29.73	29.24	45188800.0
43145	2010-05-14	29.200001	28.639999	29.209999	28.93	63334000.0
43614	2010-05-17	29.120001000000002	28.450001	29.23	28.940001000000002	46053300.0
44083	2010-05-18	28.870001000000002	28.4	29.0	28.6	52690600.0
44552	2010-05-19	28.52	27.790001	28.690001000000002	28.24	61746700.0
45021	2010-05-20	27.65	27.040001	27.84	27.110001	87991100.0
45490	2010-05-21	26.629998999999998	26.440001000000002	27.110001	26.84	117596300.0
45959	2010-05-24	26.85	26.26	26.860001	26.27	73711700.0
46428	2010-05-25	25.65	25.379998999999998	26.33	26.07	98373600.0
46897	2010-05-26	26.23	24.559998999999998	26.610001	25.01	176684100.0
47366	2010-05-27	25.73	25.73	26.360001	26.0	136433600.0
47835	2010-05-28	25.84	25.66	26.120001000000002	25.799999	67496900.0
48304	2010-06-01	25.530001000000002	25.52	26.309998999999998	25.889999	76152400.0
48773	2010-06-02	26.059998999999998	25.73	26.48	26.459999	65718800.0
49242	2010-06-03	26.549999	26.41	26.93	26.860001	67837000.0
49711	2010-06-04	26.1	25.620001000000002	26.57	25.790001	89832200.0
50180	2010-06-07	25.82	25.24	25.83	25.290001	80456200.0
50649	2010-06-08	25.25	24.65	25.26	25.110001	87355000.0
51118	2010-06-09	25.219998999999998	24.75	25.52	24.790001	87794000.0
51587	2010-06-10	25.129998999999998	24.780001000000002	25.15	25.0	78930900.0
52056	2010-06-11	25.040001	24.77	25.719998999999998	25.66	68057700.0
52525	2010-06-14	25.860001	25.469998999999998	25.959999	25.5	50972400.0
52994	2010-06-15	25.75	25.74	26.65	26.58	81641500.0
53463	2010-06-16	26.469998999999998	26.23	26.58	26.32	48698000.0
53932	2010-06-17	26.559998999999998	26.040001	26.67	26.370001000000002	47995500.0
54401	2010-06-18	26.370001000000002	26.17	26.530001000000002	26.440001000000002	52075600.0
54870	2010-06-21	26.780001000000002	25.889999	26.889999	25.950001	54625300.0
55339	2010-06-22	26.16	25.76	26.450001	25.77	55985400.0
55808	2010-06-23	25.780001000000002	25.219998999999998	25.780001000000002	25.309998999999998	61466200.0
56277	2010-06-24	25.459999	24.93	25.719998999999998	25.0	85243400.0
56746	2010-06-25	25.049999	24.309998999999998	25.110001	24.530001000000002	156256700.0
57215	2010-06-28	24.51	24.120001000000002	24.610001	24.309998999999998	73784800.0
57684	2010-06-29	24.129998999999998	23.110001	24.200001	23.309998999999998	119882100.0
58153	2010-06-30	23.299999	22.950001	23.68	23.01	81050500.0
58622	2010-07-01	23.09	22.73	23.32	23.16	92239400.0
59091	2010-07-02	23.360001	23.049999	23.48	23.27	62485100.0
59560	2010-07-06	23.700001	23.58	24.09	23.82	73592000.0
60029	2010-07-07	23.82	23.610001	24.32	24.299999	79965300.0
60498	2010-07-08	24.6	23.969998999999998	24.620001000000002	24.41	50758100.0
60967	2010-07-09	24.33	24.15	24.41	24.27	53806100.0
61436	2010-07-12	24.43	24.42	24.889999	24.83	49854200.0
